Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI,""Trade Indices"",""21"",""Brazil"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""260507"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""250331"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""268415"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""262952"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""245433"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""288390"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""324699"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""444249"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""420093"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""424337"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""536984"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""5689"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""5601"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""5691"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""4422"",""Fc"",""Calculated data"""
